gene_symbol	D_meta	P_diffusion	group
MLLT11	-1.807213302986852	0.001289799607880142	CAP_down
GPER1	6.360708164847315	0.0012371177729822123	CAP_up
SP3	1.1815882027718163	0.0011354486530361764	CAP_up
RERE	1.718612764205837	0.0011278350237550298	CAP_up
RAD54L2	-1.0438486922189147	0.0010952247549236055	CAP_down
CYP2U1	-8.513360342703864	0.0010832193449215356	CAP_down
DNTTIP1	9.108523110676929	0.0010499534273990614	CAP_up
ZNF148	0.8794059168365558	0.0010269274658211167	background
CYP4F3	14.912128150618065	0.0010014921558161845	CAP_up
LILRB5	1.044481079791158	0.0009911398649827623	CAP_up
CBR3	-3.609222954750445	0.0009901871042829512	CAP_down
UNC45A	0.8257141430005215	0.000989773516580867	background
COTL1	4.904731184380973	0.0009786992691961094	CAP_up
CTSO	-6.080039000814286	0.000978521694922131	CAP_down
PTPRA	0.0895255015270621	0.0009302283647369934	background
FMO5	-0.4149612244480528	0.0009293074208786185	background
ALOX15B	0.8387206285407043	0.000925619896786443	background
TRERF1	-0.2355262722763995	0.0009241733942313793	background
SIVA1	-0.634921595499887	0.0009149443846688167	background
CHD9	-0.4413888096983611	0.000908722141026356	background
AKR1C1	-0.7752141850298521	0.0008813761018908242	background
MIER1	2.170662277269221	0.0008714000876438951	CAP_up
MAP3K13	0.5282652831132415	0.000871022014621983	background
PLPP6	-1.5633423555186443	0.0008705868664229242	CAP_down
PLPP1	-3.1214424556197846	0.0008544324884563079	CAP_down
GPR18	-4.131562949672551	0.000850806144688543	CAP_down
GREB1	0.4990585686923972	0.000844635838189185	background
NECAB2	6.419893805099455	0.0008398644716990981	CAP_up
CHORDC1	-0.2207019541038805	0.000834811298141527	background
SRD5A1	0.0739820748089663	0.0008347318833350579	background
RHBDD1	-0.0811991744744431	0.000834707198500914	background
SHB	-0.0203139038927258	0.0008277768822489377	background
ZC3H12D	-5.518938148409078	0.0008240845471227589	CAP_down
FUCA2	0.4116128835298387	0.0008237051508175915	background
PTPN7	0.2447965298419487	0.0008194932519452987	background
ZNF516	6.221331328048256	0.0008140131266000182	CAP_up
