gene_symbol	D_meta	logFC_d	padj_d	logFC_v	padj_v
ABHD16A	2.1827268680522605	0.383988864750958	6.52351061862922e-05	0.610974397	3.05822818716178e-05
ESRRA	1.678183727045154	0.383961836916789	0.0006433937802381	0.48226745	3.81420626464399e-05
ANAPC10	-0.6115445696733437	-0.383926619915206	0.073467279924406	-0.350189048	0.005629811
ATP6V1A	2.486228741823751	0.383922966326375	0.0028718728263407	0.822521482	1.38372350250693e-05
IL10RA	-0.9913283145859453	-0.383902468049445	0.0018152687726196	-0.431207139	0.006957213
WNT10A	-1.1492649975654792	-0.383857522229835	0.408239606682649	-0.959690575	0.005761722
RNF216	-1.6339096149218255	-0.383771332120082	4.31732241393359e-05	-0.359719716	3.73485378038461e-05
GFI1	-0.47133983240188393	-0.383558406926912	0.0820256288861654	-0.436790543	0.062444781
TMEM158	0.5889155916592687	0.383513625082225	0.258251038535062	0.766295345	0.057175999
TMPPE	0.2758429135753433	0.38336443493908	0.173887059051858	0.320263125	0.153752005
CYB5R1	3.19539375424176	0.383340978848134	0.0010395952500175	0.950791058	3.02818078538967e-06
PIGW	-1.5725328940927823	-0.383312839115389	0.256466667618128	-0.758971646	0.000142762
CHMP7	-3.21151634216318	-0.383275090871313	0.0272650227517664	-0.778133788	3.27205883172831e-08
C12orf43	-0.9532850979322083	-0.383116610210324	0.0857702641078958	-0.41509973	0.000246284
XPO7	-0.39741706138054506	-0.383038232110937	0.0029356413774884	0.221114151	0.161418995
NUP88	-2.358792157792669	-0.382973207019234	0.0156296822485951	-0.693029707	1.55174014732945e-06
EID3	-0.29407328595587134	-0.382863711782236	0.0378433433766379	-0.148200463	0.507059898
NFAM1	6.712704015196891	0.382675480729577	0.188807431373538	1.486566491	1.32960752942663e-09
RMP64	-0.8080996926539941	-0.382630999148584	0.0831433874872864	-0.359144257	0.000447375
TMEM9	-0.24767907905272152	-0.382572545906354	0.0592972839033036	-0.101705161	0.555650811
NDC1	-1.6511320600354924	-0.382560249146465	0.160576325528591	-0.662758608	2.99153220825204e-05
LINC01554	5.910646047675564	0.382549761273634	0.391165388250551	2.170155529	4.21344938437992e-06
STK40	4.005413600957202	0.3825254357763	0.0013638919053793	1.050183947	2.60288854101947e-07
SENP2	2.010426527895123	0.382506946149666	1.40720321223829e-06	0.406839988	4.1542801960327e-05
ZNF2	-0.5208200368190189	-0.382332999418113	0.0021072532182231	-0.102859188	0.662262826
CACTIN	-0.9745056944687671	-0.382267882534149	0.0362170563724212	-0.506592397	0.001738313
EEF1A1	-1.3108165411613353	-0.382175304079496	1.49037172628279e-05	-0.588406134	0.04780863
ERG	6.392960152540525	-0.382139311546426	0.424344891969261	2.412547093	4.37786271110249e-06
TPST1	11.534963899332539	0.382022438227499	0.500980662173544	3.231389675	7.86348457314066e-08
NVL	-2.972165125904059	-0.381910601143105	0.0342066199820512	-0.731179268	4.3139500360808e-08
PJA2	2.9588920920220048	0.38161399220715	0.0010696035686115	0.866838916	3.02673229050692e-06
UTP4	-1.3022108776431551	-0.381545828217966	0.0378499858976251	-0.568293934	0.000235392
STARD5	-0.19424788620267927	-0.381431944287703	0.088587701521605	0.085878184	0.705522241
EI24	-0.912217902381337	-0.381399940559866	0.0168921246588978	-0.467267913	0.003484572
